width,depth,curvature,point_count,label
0.2273,0.0781,11.4495,13,
1.6631,0.0053,0.0573,47,
0.5532,0.0625,1.4025,41,
0.1159,0.0061,4.0905,5,
0.1024,0.0051,3.9461,5,
0.2730,0.0345,6.1777,23,
0.0638,0.0022,10.1918,13,
0.1423,0.0073,17.3116,5,
0.1429,0.0706,15.8353,6,
0.1133,0.0134,17.0721,4,
0.0216,0.0043,112.8157,6,
0.2232,0.0134,5.4084,12,
0.1101,0.0196,16.0034,11,
0.2263,0.0847,11.3790,13,
1.5844,0.0049,0.0320,45,
0.5595,0.0665,1.4859,37,
0.1109,0.0018,1.2485,5,
0.2847,0.0462,5.4874,24,
0.0629,0.0009,11.8252,13,
0.1778,0.0700,11.8465,6,
0.1216,0.0503,18.0595,6,
0.0253,0.0046,53.4022,6,
0.2233,0.0121,3.8955,11,
0.1199,0.0229,23.4451,11,
0.1396,0.0067,2.7144,4,
0.2262,0.0767,11.4699,13,
1.6318,0.0052,0.0366,45,
0.3230,0.0230,1.9644,28,
0.1146,0.0157,8.7696,9,
0.1394,0.0051,2.0350,6,
0.3136,0.0485,4.9875,26,
0.0648,0.0012,3.3610,13,
0.1823,0.0719,11.4626,6,
0.1113,0.0337,19.7327,6,
0.0236,0.0060,103.3729,7,
0.2340,0.0194,3.6459,12,
0.1077,0.0249,17.7076,11,
0.2417,0.0788,10.9533,14,
1.5546,0.0049,0.2817,43,
0.3317,0.0186,2.4058,29,
0.1342,0.0215,8.6048,10,
0.1695,0.0076,4.8881,7,
0.3343,0.1740,8.9680,28,
0.0720,0.0010,31.5337,14,
0.1436,0.0089,4.5796,5,
0.1193,0.0484,18.4599,6,
0.0161,0.0045,122.8538,6,
0.2293,0.0122,3.5775,11,
0.1267,0.0339,25.6406,11,
0.2348,0.0812,10.6205,13,
1.4064,0.0115,0.0536,39,
0.3421,0.0095,2.5994,32,
0.0930,0.0097,8.4710,8,
0.2228,0.0042,1.9614,9,
0.3146,0.2165,8.9090,30,
0.0903,0.0042,3.6665,13,
0.1812,0.0730,11.9755,6,
0.1295,0.0622,17.9554,7,
0.0233,0.0029,107.6414,7,
0.2388,0.0188,3.4167,12,
0.1141,0.0136,16.7018,11,
0.2535,0.0789,10.2053,14,
1.3456,0.0069,0.0402,36,
0.3789,0.0181,2.1340,35,
0.0834,0.0063,7.1154,7,
0.2256,0.0068,1.9134,9,
0.4189,0.0495,6.8446,32,
0.0754,0.0011,10.2771,13,
0.1427,0.0069,3.3852,5,
0.1258,0.0778,17.9748,6,
0.0153,0.0027,145.7170,6,
0.2284,0.0120,3.6836,11,
0.1351,0.0376,21.0083,11,
0.2374,0.0759,10.6379,13,
1.2957,0.0050,0.0934,34,
0.3840,0.0151,8.2168,37,
0.0618,0.0036,7.6780,5,
0.2679,0.0159,1.9141,10,
0.2205,0.0534,6.7508,25,
0.0652,0.0044,8.7199,5,
0.0608,0.0019,5.2205,13,
0.1412,0.0070,3.2087,5,
0.1786,0.0120,6.9964,4,
0.1660,0.0745,13.0161,7,
0.0108,0.0023,138.6455,6,
0.2390,0.0193,3.5248,12,
0.1045,0.0289,18.7029,11,
0.2424,0.0735,10.6124,14,
1.2273,0.0059,0.0600,32,
0.3899,0.0164,4.1686,39,
0.0545,0.0020,6.0750,4,
0.2947,0.0206,1.9856,11,
0.3668,0.0916,5.4939,35,
0.0656,0.0005,2.8574,13,
0.1363,0.0735,15.6644,5,
0.1208,0.0598,18.2370,6,
0.1167,0.0654,17.6077,4,
0.0309,0.0073,63.5790,7,
0.2359,0.0188,3.4086,12,
0.1146,0.0171,16.1336,11,
0.2423,0.0834,10.8163,14,
1.1314,0.0058,0.0519,29,
0.4078,0.0153,2.4617,41,
0.3483,0.0187,1.3745,13,
0.4020,0.0706,3.7245,36,
0.0835,0.0020,2.9906,13,
0.1164,0.0035,1.9495,4,
0.1273,0.0581,17.2692,7,
0.0268,0.0101,94.8373,7,
0.2387,0.0129,3.5922,12,
0.1065,0.0269,17.8081,11,
0.2431,0.0791,10.7920,14,
0.9840,0.0077,0.0708,25,
0.4297,0.0209,4.7634,42,
0.3752,0.0206,1.3949,14,
0.4670,0.0922,3.0082,40,
0.0885,0.0015,4.0963,14,
0.1405,0.0057,18.4770,5,
0.1231,0.0734,18.6781,8,
0.0244,0.0015,31.1130,6,
0.2427,0.0199,4.9906,13,
0.1253,0.0299,26.9290,11,
0.2271,0.0789,11.3314,13,
0.9320,0.0056,0.0924,23,
0.4403,0.0148,2.9664,44,
0.3794,0.0151,1.8869,15,
0.5672,0.1270,3.0310,41,
0.0542,0.0014,8.3258,13,
0.1434,0.0550,14.8606,5,
0.1356,0.0698,16.6370,6,
0.0405,0.0144,50.1673,4,
0.0181,0.0055,128.4076,6,
0.2421,0.0204,4.0906,12,
0.1152,0.0273,14.6335,11,
0.2490,0.0688,10.4266,14,
0.8651,0.0070,1.1357,21,
0.4633,0.0165,2.6819,45,
0.3867,0.0308,5.8167,16,
0.5389,0.1171,3.7938,40,
0.0513,0.0020,8.9073,13,
0.1443,0.0126,5.4806,5,
0.1285,0.0530,16.9160,5,
0.0248,0.0106,90.9718,7,
0.2438,0.0200,4.1980,13,
0.0906,0.0277,21.7930,10,
0.2316,0.0766,10.5316,13,
0.7523,0.0092,0.1985,18,
0.4863,0.0202,3.5971,45,
0.4002,0.0367,7.5153,17,
0.4434,0.0925,6.5729,35,
0.0608,0.0006,12.0122,13,
0.1422,0.0073,17.3180,5,
0.1545,0.0726,14.2019,7,
0.0205,0.0013,86.5005,6,
0.2233,0.0136,5.7525,12,
0.1181,0.0190,19.9272,11,
0.1326,0.0035,1.8026,4,
0.2380,0.0768,10.4746,13,
0.5972,0.0034,0.9299,14,
0.2783,0.0157,1.7526,28,
0.0823,0.0101,11.3935,13,
0.4040,0.0364,7.5720,17,
0.2335,0.0999,8.6098,19,
0.1639,0.0390,10.0953,11,
0.0687,0.0010,3.6111,13,
0.1770,0.0112,10.9172,4,
0.1269,0.0680,18.0896,7,
0.0245,0.0096,99.1154,7,
0.2271,0.0133,4.8397,12,
0.1539,0.0481,16.1015,11,
0.2235,0.0850,11.4207,13,
0.4232,0.0020,3.1470,10,
0.2309,0.0132,1.9443,23,
0.0877,0.0132,12.8219,13,
0.1164,0.0033,1.8783,5,
0.4005,0.0420,6.5844,17,
0.2728,0.0981,7.8845,23,
0.0623,0.0015,3.2070,5,
0.0607,0.0007,5.5472,13,
0.1394,0.0055,12.1589,5,
0.1200,0.0529,18.3911,5,
0.0261,0.0029,38.6390,6,
0.2367,0.0189,4.6682,13,
0.1070,0.0225,17.1859,11,
0.2462,0.0774,10.6007,14,
0.2962,0.0021,0.2794,7,
0.2483,0.0162,1.9154,25,
0.0921,0.0136,11.4432,13,
0.1664,0.0058,1.7695,7,
0.3811,0.0374,7.8651,16,
0.3105,0.0823,7.7118,26,
0.1005,0.0053,3.7979,13,
0.1798,0.0631,11.0504,6,
0.1162,0.0526,19.3867,7,
0.0165,0.0043,102.8466,6,
0.2222,0.0132,5.2820,12,
0.1289,0.0317,25.9704,11,
0.2249,0.0848,11.6269,13,
0.2529,0.0176,2.1040,26,
0.0899,0.0077,7.8064,11,
0.2322,0.0027,0.4165,9,
0.3946,0.0367,7.7474,16,
0.0727,0.0036,5.5924,4,
0.2879,0.0529,10.2003,23,
0.0549,0.0018,5.0992,12,
0.1381,0.0207,9.1424,4,
0.1371,0.0796,16.4238,7,
0.0132,0.0049,166.5196,6,
0.2266,0.0133,3.9564,11,
0.1292,0.0298,26.5626,11,
0.1478,0.0023,0.8724,4,
0.2284,0.0875,11.2916,13,
0.2637,0.0156,2.1899,29,
0.0910,0.0077,7.3496,10,
0.2680,0.0013,0.1633,10,
0.3967,0.0373,7.5192,17,
0.1262,0.0066,3.1704,6,
0.3030,0.0337,7.3303,20,
0.0754,0.0009,26.0264,13,
0.1387,0.0439,13.9049,5,
0.1280,0.0690,17.5504,7,
0.0358,0.0082,44.2381,4,
0.0130,0.0039,145.8870,6,
0.2342,0.0192,4.3231,12,
0.1116,0.0336,16.8472,11,
0.2464,0.0626,10.5966,14,
0.2757,0.0139,1.9076,31,
0.0707,0.0042,6.6332,7,
0.3419,0.0057,0.3888,12,
0.4009,0.0498,6.4624,17,
0.1471,0.0077,2.7739,7,
0.2815,0.0546,8.9346,17,
0.0629,0.0013,2.5939,13,
0.1422,0.0065,4.2332,5,
0.1292,0.0774,17.9184,8,
0.0203,0.0063,100.8221,7,
0.2332,0.0196,3.9498,12,
0.1096,0.0251,15.5574,11,
0.2432,0.0567,10.7238,14,
0.2973,0.0150,1.8463,35,
0.0542,0.0010,4.5052,5,
0.3502,0.0107,0.9370,13,
0.3910,0.0259,4.1193,16,
0.1210,0.0044,3.3524,6,
0.3004,0.0262,7.8729,17,
0.0746,0.0022,5.8091,14,
0.1244,0.0080,4.6534,4,
0.1269,0.0697,18.0907,7,
0.0127,0.0057,162.5191,6,
0.2263,0.0171,4.9535,12,
0.1142,0.0317,15.9626,11,
0.2352,0.0687,10.2037,13,
0.2966,0.0099,1.9943,38,
0.3184,0.0011,0.3810,12,
0.3983,0.0515,7.2678,17,
0.1182,0.0035,14.0832,5,
0.3031,0.0377,9.7634,16,
0.0609,0.0006,8.0072,13,
0.1432,0.0562,14.7523,5,
0.1264,0.0497,16.6722,5,
0.0425,0.0042,46.0491,6,
0.2291,0.0132,4.6256,12,
0.1143,0.0358,16.9059,11,
0.2296,0.0780,10.7336,13,
0.3358,0.0262,2.3940,41,
0.3180,0.0010,0.2471,12,
0.4050,0.0425,7.3716,17,
0.1243,0.0083,4.9676,6,
0.3217,0.0628,8.5146,16,
0.0784,0.0018,2.6936,13,
0.1881,0.0594,13.6933,6,
0.1347,0.0619,16.9333,7,
0.0128,0.0020,94.3951,5,
0.2233,0.0182,5.0618,12,
0.1227,0.0244,23.0293,11,
0.2487,0.0799,10.5266,14,
0.3722,0.0290,1.9495,45,
0.3419,0.0036,0.2821,13,
0.3925,0.0345,5.7253,17,
0.1471,0.0076,3.1400,7,
0.3571,0.0885,5.8935,16,
0.0814,0.0026,3.5526,13,
0.1373,0.0379,15.4374,5,
0.1658,0.0725,12.7565,7,
0.0168,0.0058,124.7617,5,
0.2397,0.0136,4.6036,13,
0.1284,0.0299,26.5890,11,
0.2307,0.0820,10.9827,13,
0.3693,0.0233,1.8474,46,
0.1378,0.0026,1.1403,6,
0.3404,0.0029,0.2538,13,
0.4016,0.0428,6.6197,17,
0.1454,0.0078,3.7545,7,
0.1610,0.0286,7.9294,12,
0.1071,0.0042,3.4339,13,
0.2033,0.0957,11.1602,6,
0.1252,0.0592,18.0224,7,
0.0262,0.0036,47.1043,7,
0.2350,0.0196,3.8125,12,
0.1058,0.0270,17.9991,11,
0.2395,0.0700,10.8316,14,
0.4126,0.0213,1.5496,50,
0.1943,0.0032,0.7188,8,
0.3263,0.0111,0.8821,13,
0.3937,0.0289,3.8863,16,
0.1583,0.0109,4.0264,8,
0.2461,0.0950,8.2322,14,
0.0570,0.0008,6.1737,13,
0.1813,0.0618,11.0698,6,
0.1259,0.0763,18.2731,7,
0.0271,0.0065,70.1360,6,
0.2232,0.0173,4.9407,12,
0.1544,0.0487,16.0246,11,
0.2230,0.0715,11.0594,13,
0.4506,0.1236,6.7790,53,
0.2425,0.0007,0.1705,10,
0.3390,0.0024,0.2484,13,
0.4102,0.0378,7.3791,17,
0.1859,0.0141,3.2705,9,
0.2360,0.0872,8.2135,14,
0.0570,0.0012,5.4455,13,
0.1900,0.0791,11.1286,6,
0.1308,0.0640,17.0392,7,
0.0366,0.0090,52.0181,4,
0.0238,0.0072,102.7440,7,
0.2344,0.0199,3.8733,12,
0.1057,0.0214,16.9075,11,
0.2483,0.0747,10.3653,14,
0.3591,0.1368,7.4220,61,
0.2746,0.0013,0.3275,11,
0.3217,0.0020,8.2557,13,
0.3930,0.0326,4.5670,16,
0.1933,0.0153,3.4333,9,
0.2657,0.0800,7.7565,16,
0.0611,0.0008,19.1762,13,
0.1372,0.0393,15.8202,5,
0.1306,0.0677,17.1946,7,
0.0152,0.0087,148.1312,6,
0.2316,0.0265,5.2164,13,
0.1185,0.0173,14.2455,11,
0.1894,0.0891,12.6008,11,
0.0609,0.0255,44.7956,11,
0.3911,0.0248,7.3515,50,
0.3423,0.0020,0.9058,13,
0.3394,0.0019,0.2115,13,
0.3990,0.0490,6.7387,17,
0.1892,0.0187,7.0494,9,
0.3116,0.0620,5.1777,18,
0.0856,0.0019,3.6799,14,
0.1194,0.0073,4.3241,4,
0.1262,0.0736,18.0892,8,
0.3736,0.0131,1.4978,21,
0.0924,0.0251,20.0918,10,
0.1169,0.0030,6.1968,6,
0.1431,0.0067,17.2735,7,
0.4436,0.0527,2.0918,58,
0.3846,0.0081,0.4848,14,
0.3248,0.0041,0.5691,13,
0.3797,0.0380,7.7199,16,
0.2126,0.0336,8.2001,10,
0.3515,0.0626,3.9246,20,
0.0618,0.0010,9.1652,13,
0.1781,0.0691,11.8873,6,
0.1220,0.0555,18.9103,7,
0.0154,0.0096,148.8112,6,
0.2349,0.0182,4.4908,13,
0.1122,0.0195,15.6438,11,
0.4619,0.0532,1.8151,62,
0.3884,0.0019,0.2822,14,
0.3266,0.0035,0.5030,13,
0.4052,0.0434,7.2762,17,
0.2122,0.0237,6.1629,10,
0.3917,0.0903,3.9607,21,
0.0627,0.0010,3.2003,13,
0.2722,0.0418,9.6880,7,
0.1226,0.0702,18.4642,9,
0.0579,0.0124,29.3275,4,
0.0093,0.0017,190.7890,5,
0.2301,0.0190,3.6793,12,
0.1120,0.0234,13.8141,11,
0.1321,0.0085,3.8409,4,
0.4564,0.0450,1.6566,62,
0.4123,0.0125,0.6921,15,
0.3357,0.0029,0.2583,13,
0.3877,0.0403,7.4324,16,
0.1813,0.0110,14.4862,9,
0.4092,0.0987,3.9641,21,
0.0668,0.0012,3.2379,13,
0.1416,0.0082,3.9913,5,
0.1207,0.0549,18.1291,5,
0.0126,0.0055,161.7033,6,
0.2408,0.0135,4.4753,13,
0.1551,0.0483,17.3697,11,
0.3990,0.0391,2.2245,52,
0.3952,0.0067,0.5891,15,
0.3405,0.0034,1.0255,13,
0.3942,0.0432,7.6282,17,
0.1914,0.0170,15.4948,9,
0.4306,0.1000,3.6522,22,
0.0619,0.0010,6.8810,13,
0.1808,0.0655,11.8206,6,
0.1225,0.0548,17.4480,6,
0.0216,0.0043,115.0545,6,
0.2387,0.0135,4.8049,13,
0.1148,0.0137,17.8435,11,
0.3794,0.0294,2.2041,50,
0.3790,0.0102,0.6305,14,
0.3241,0.0012,0.7484,13,
0.3865,0.0408,7.8516,16,
0.1622,0.0089,4.5391,8,
0.4071,0.0928,3.9990,22,
0.0774,0.0019,2.9321,13,
0.1832,0.0726,12.5163,6,
0.1250,0.0537,17.0886,5,
0.1300,0.0190,9.9075,4,
0.0145,0.0028,117.9355,6,
0.2301,0.0134,4.3703,12,
0.1135,0.0244,14.3311,11,
0.3700,0.0231,2.3737,48,
0.3687,0.0152,1.0773,14,
0.3172,0.0018,0.5959,13,
0.4103,0.0372,6.9853,17,
0.1945,0.0303,9.3959,9,
0.3955,0.0765,3.8593,22,
0.0756,0.0017,2.3800,13,
0.1846,0.0712,12.3898,6,
0.1619,0.0779,13.8039,7,
0.0137,0.0035,124.5402,7,
0.2266,0.0176,4.9975,12,
0.0950,0.0148,22.0258,10,
0.3573,0.0177,2.6257,44,
0.3412,0.0044,0.3763,13,
0.3232,0.0022,1.2864,13,
0.4151,0.0368,5.9566,17,
0.1918,0.0092,7.1520,9,
0.4108,0.0865,3.8898,22,
0.1006,0.0049,3.3934,14,
0.1375,0.0357,13.6763,4,
0.1133,0.0485,19.9990,7,
0.0354,0.0025,51.8935,6,
0.2382,0.0198,3.9274,12,
0.1083,0.0200,14.1493,11,
0.3490,0.0173,3.3295,43,
0.3344,0.0079,0.6261,12,
0.3264,0.0022,3.7422,13,
0.4086,0.0388,4.7817,17,
0.2126,0.0119,6.2398,10,
0.3956,0.0974,4.0824,21,
0.0896,0.0022,4.0259,14,
0.2767,0.0504,6.5003,7,
0.1257,0.0613,17.9009,6,
0.0226,0.0108,113.0727,7,
0.2329,0.0195,3.5951,12,
0.1088,0.0218,15.4593,11,
0.3403,0.0154,5.2624,42,
0.3044,0.0015,3.1212,11,
0.3642,0.0072,0.6224,14,
0.3872,0.0339,7.2504,16,
0.1894,0.0082,7.6969,9,
0.3275,0.0576,4.5430,18,
0.0544,0.0014,47.3460,13,
0.1278,0.0529,16.8960,5,
0.0216,0.0081,117.0164,7,
0.2322,0.0135,4.5665,12,
0.0925,0.0263,20.6333,10,
0.3256,0.0128,5.3132,40,
0.2923,0.0013,0.2504,11,
0.3393,0.0021,0.2179,13,
0.4022,0.0418,7.4037,17,
0.2093,0.0125,9.6828,10,
0.2816,0.1027,8.1641,16,
0.0703,0.0013,4.8672,13,
0.1945,0.0748,10.6385,6,
0.1320,0.0648,17.4394,7,
0.0129,0.0054,161.9167,6,
0.2350,0.0249,4.8900,13,
0.1068,0.0226,15.2275,11,
0.3240,0.0127,9.2689,40,
0.2992,0.0057,0.5277,11,
0.3357,0.0034,0.2941,13,
0.3780,0.0332,6.8011,16,
0.1811,0.0247,9.4027,9,
0.1567,0.0080,2.5546,4,
0.2430,0.0414,6.3952,12,
0.0580,0.0011,16.7264,13,
0.1858,0.0809,11.9013,6,
0.1260,0.0643,18.0924,7,
0.0193,0.0041,73.3963,7,
0.2408,0.0125,3.3340,12,
0.1094,0.0137,16.5382,11,
0.3231,0.0127,9.8159,39,
0.2814,0.0096,1.1252,11,
0.3213,0.0017,0.2627,12,
0.3948,0.0481,6.8660,17,
0.1647,0.0201,7.3982,8,
0.3262,0.0671,7.4143,14,
0.0706,0.0012,15.5714,13,
0.1854,0.0709,12.6950,6,
0.1258,0.0560,17.0151,6,
0.0190,0.0033,78.9018,6,
0.2301,0.0135,4.9921,12,
0.1360,0.0423,22.2233,11,
0.3256,0.0148,8.1548,40,
0.2808,0.0039,0.4035,11,
0.3408,0.0016,0.2107,13,
0.4049,0.0478,7.1750,17,
0.1383,0.0406,13.6224,7,
0.3013,0.0147,9.8479,12,
0.0735,0.0010,3.8059,13,
0.1273,0.0545,16.8293,5,
0.0262,0.0045,74.8048,6,
0.2281,0.0135,5.1003,12,
0.0899,0.0278,22.2535,10,
0.3265,0.0136,8.2420,40,
0.2796,0.0036,0.4269,11,
0.3375,0.0031,0.3803,13,
0.3986,0.0491,7.5669,17,
0.1530,0.0198,10.3681,8,
0.2342,0.0155,2.9566,10,
0.0649,0.0009,39.3633,13,
0.1831,0.0735,12.5769,6,
0.1253,0.0742,18.3525,7,
0.0142,0.0020,126.1959,6,
0.2271,0.0134,5.0455,12,
0.0935,0.0280,20.7070,10,
0.3261,0.0141,8.7669,40,
0.2784,0.0048,0.5750,11,
0.3449,0.0029,0.2430,13,
0.4007,0.0375,7.4412,17,
0.1980,0.0304,9.5539,10,
0.1946,0.0117,2.4235,9,
0.0600,0.0009,4.5691,13,
0.1807,0.0705,11.1870,6,
0.1197,0.0578,18.6729,8,
0.0124,0.0028,147.7798,7,
0.2369,0.0194,3.6419,12,
0.1030,0.0204,15.1495,11,
0.3309,0.0173,4.3283,40,
0.2845,0.0025,0.5526,11,
0.3333,0.0069,0.5765,13,
0.3901,0.0353,4.4821,16,
0.2171,0.0277,6.7979,11,
0.1770,0.0094,2.2983,8,
0.0554,0.0019,12.3159,13,
0.1478,0.0751,15.5227,5,
0.1339,0.0783,16.8071,7,
0.0311,0.0040,35.0823,4,
0.0263,0.0081,79.8624,6,
0.2370,0.0189,3.4602,12,
0.1154,0.0247,13.5462,11,
0.3284,0.0164,6.1936,40,
0.2784,0.0057,0.6391,11,
0.3252,0.0025,0.2412,13,
0.4068,0.0482,5.7253,17,
0.2417,0.0410,6.5209,12,
0.1283,0.0108,7.2675,6,
0.0776,0.0029,4.2317,13,
0.1207,0.0029,1.7844,4,
0.1597,0.0765,13.9664,6,
0.0190,0.0028,110.2860,6,
0.2415,0.0136,4.2889,13,
0.1447,0.0416,20.7285,11,
0.3322,0.0182,4.6411,40,
0.2848,0.0011,0.9479,11,
0.3337,0.0019,0.7203,13,
0.3803,0.0386,7.5790,16,
0.2428,0.0445,7.1716,12,
0.1163,0.0059,5.8213,5,
0.0581,0.0007,15.2004,13,
0.1484,0.0174,7.1144,5,
0.1221,0.0522,17.8188,5,
0.0200,0.0047,78.5527,6,
0.2301,0.0135,5.2579,12,
0.1537,0.0460,15.8288,11,
0.3295,0.0175,3.6346,40,
0.2884,0.0036,0.5493,11,
0.3384,0.0027,0.2706,13,
0.4113,0.0384,7.4880,17,
0.2516,0.0323,5.8238,12,
0.1115,0.0050,2.8405,14,
0.1834,0.0618,11.3622,6,
0.1171,0.0526,19.4870,6,
0.0196,0.0018,40.3082,7,
0.2416,0.0133,4.6597,13,
0.1097,0.0287,17.4090,11,
0.3326,0.0185,4.4496,41,
0.2824,0.0011,0.2732,11,
0.3402,0.0026,0.2979,13,
0.4087,0.0417,7.4887,17,
0.2784,0.0426,4.5626,13,
0.0571,0.0004,14.7554,13,
0.1499,0.0101,5.9632,5,
0.1192,0.0528,18.4976,6,
0.0087,0.0019,167.7498,5,
0.2445,0.0133,4.3790,13,
0.1418,0.0396,20.5267,11,
0.3344,0.0223,3.7830,40,
0.2801,0.0018,0.2911,11,
0.3421,0.0030,0.8924,13,
0.3978,0.0479,7.5633,17,
0.2659,0.0338,4.4902,13,
0.0553,0.0010,9.5195,13,
0.1434,0.0138,6.2805,5,
0.1235,0.0492,17.3928,5,
0.0238,0.0103,93.7454,7,
0.2397,0.0183,4.5394,13,
0.0919,0.0285,22.0023,10,
0.3322,0.0197,3.2745,41,
0.2843,0.0095,1.1003,11,
0.3021,0.0022,0.3317,12,
0.4013,0.0593,7.2224,17,
0.2578,0.0220,7.9428,13,
0.0660,0.0015,4.3429,13,
0.1408,0.0072,3.4337,5,
0.1236,0.0545,17.2073,6,
0.0153,0.0034,128.2373,6,
0.2446,0.0135,4.2833,13,
0.1158,0.0210,21.6866,11,
0.3325,0.0207,4.3490,40,
0.2552,0.0035,0.4862,10,
0.3298,0.0018,5.8366,13,
0.3875,0.0373,6.1628,16,
0.2802,0.0482,5.3091,14,
0.0707,0.0013,2.4159,13,
0.1872,0.0515,10.8911,6,
0.1233,0.0504,17.4914,5,
0.0201,0.0051,97.4045,6,
0.2302,0.0199,4.7411,12,
0.1155,0.0260,15.9409,11,
0.3287,0.0167,4.8418,40,
0.2814,0.0055,0.5729,11,
0.3403,0.0025,0.2133,13,
0.3953,0.0525,7.5359,17,
0.2684,0.0398,5.4768,13,
0.0637,0.0013,3.5641,13,
0.1417,0.0416,17.4558,5,
0.1269,0.0689,18.2075,7,
0.0330,0.0198,62.5265,4,
0.0117,0.0055,176.3792,6,
0.2329,0.0132,4.2482,12,
0.1045,0.0318,19.4400,11,
0.3284,0.0179,4.3626,40,
0.2811,0.0107,1.2260,11,
0.3389,0.0017,0.2513,13,
0.3949,0.0545,7.0043,17,
0.2286,0.0287,8.8517,12,
0.0501,0.0026,9.5679,13,
0.1390,0.0137,8.1143,5,
0.1181,0.0530,19.4112,7,
0.0144,0.0091,140.7177,7,
0.2385,0.0135,4.5318,13,
0.1162,0.0150,14.4250,11,
0.3319,0.0187,3.2768,41,
0.3104,0.0032,0.4785,12,
0.3410,0.0030,0.4383,13,
0.3859,0.0377,7.2533,16,
0.2452,0.0521,8.0911,12,
0.0601,0.0007,12.3445,13,
0.1439,0.0619,15.3696,5,
0.2106,0.0787,11.5404,11,
0.0154,0.0039,113.1497,5,
0.2408,0.0271,5.7366,13,
0.0949,0.0182,15.9673,10,
0.3307,0.0190,3.7667,41,
0.2978,0.0112,1.2105,12,
0.3351,0.0086,0.6529,13,
0.3889,0.0294,4.9235,16,
0.1914,0.0303,15.0225,11,
0.0613,0.0028,5.7855,13,
0.1344,0.0681,15.2345,4,
0.1275,0.0736,17.5398,6,
0.0273,0.0077,86.9442,7,
0.2320,0.0163,4.3295,12,
0.0882,0.0230,20.9517,10,
0.3286,0.0190,4.7398,40,
0.2795,0.0092,1.0023,11,
0.3018,0.0014,1.8502,12,
0.4109,0.0431,6.7332,17,
0.1770,0.0386,13.7651,10,
0.0760,0.0013,40.6822,14,
0.1496,0.0765,14.4001,5,
0.1804,0.0795,11.9152,6,
0.0238,0.0102,101.5065,7,
0.2328,0.0127,4.7770,13,
0.1041,0.0335,19.6459,11,
0.3303,0.0198,5.0382,40,
0.3102,0.0071,0.7024,12,
0.3373,0.0075,0.6080,13,
0.3918,0.0325,5.8079,16,
0.1810,0.0418,14.0807,11,
0.0658,0.0007,3.0900,13,
0.1473,0.0590,13.9610,5,
0.1283,0.0729,17.5876,7,
0.0152,0.0039,109.4109,6,
0.2435,0.0200,4.5011,13,
0.0916,0.0316,22.4929,10,
0.3293,0.0179,3.4349,39,
0.2767,0.0041,0.7594,11,
0.3155,0.0015,4.5705,12,
0.4069,0.0432,7.3753,17,
0.1891,0.0433,11.9653,11,
0.0887,0.0018,2.3604,14,
0.1809,0.0622,11.2979,6,
0.1218,0.0570,17.8086,5,
0.1250,0.0652,16.9334,4,
0.0176,0.0058,112.3774,6,
0.2349,0.0252,4.8471,13,
0.1212,0.0206,20.2775,11,
0.3256,0.0180,4.3258,39,
0.2973,0.0212,2.2482,11,
0.3336,0.0042,0.4095,13,
0.3920,0.0377,6.9892,16,
0.1969,0.0279,14.3493,11,
0.0638,0.0012,2.4468,13,
0.1439,0.0538,15.2634,5,
0.1268,0.0659,18.2206,7,
0.0328,0.0185,64.3175,4,
0.0156,0.0095,139.3045,7,
0.2331,0.0192,3.5087,12,
0.1181,0.0247,13.2889,11,
0.3301,0.0206,3.3903,40,
0.2859,0.0033,0.3803,11,
0.3409,0.0025,0.2117,13,
0.4115,0.0467,6.6252,17,
0.1880,0.0393,13.6818,11,
0.0677,0.0006,4.7801,13,
0.1382,0.0263,10.7005,4,
0.1309,0.0685,17.2009,6,
0.0220,0.0090,89.2742,4,
0.0099,0.0011,290.7297,6,
0.2311,0.0132,4.1020,12,
0.1057,0.0259,17.8298,11,
0.3277,0.0178,4.8322,40,
0.2846,0.0080,0.8730,11,
0.3021,0.0023,0.2947,12,
0.4071,0.0408,7.1278,17,
0.1892,0.0425,13.9884,11,
0.0716,0.0012,44.9688,13,
0.1435,0.0506,14.0724,5,
0.1262,0.0681,18.1662,6,
0.0288,0.0045,39.5066,4,
0.0114,0.0035,162.6048,5,
0.2302,0.0202,3.9608,12,
0.1173,0.0292,14.6712,11,
0.3286,0.0178,4.2850,40,
0.2796,0.0120,1.3860,11,
0.3059,0.0017,0.3819,12,
0.4088,0.0468,7.4646,17,
0.1902,0.0399,13.3741,11,
0.0739,0.0012,3.7801,14,
0.1405,0.0109,17.1598,5,
0.1215,0.0520,17.6847,6,
0.0188,0.0026,107.3555,6,
0.2253,0.0134,5.0764,12,
0.1351,0.0379,24.5561,11,
0.3333,0.0183,3.5474,41,
0.2798,0.0033,0.4026,11,
0.3363,0.0019,0.2115,13,
0.3990,0.0357,6.0178,17,
0.1896,0.0434,14.5177,11,
0.0568,0.0017,8.3942,13,
0.1387,0.0195,11.5871,5,
0.1155,0.0443,19.6343,7,
0.0114,0.0036,204.0739,6,
0.2388,0.0193,3.2821,12,
0.1149,0.0167,14.7666,11,
0.3326,0.0189,3.7719,40,
0.2837,0.0044,0.4395,11,
0.3356,0.0016,0.1952,13,
0.3824,0.0403,6.7191,16,
0.1892,0.0336,15.2776,11,
0.0589,0.0015,46.8969,13,
0.1389,0.0219,11.6023,5,
0.1255,0.0489,17.3586,6,
0.0834,0.0117,20.7094,4,
0.0293,0.0077,77.7535,7,
